Wyatt,Ramirez,1978,wyatt.r@email.com,Camellia Lane 6,false,false
Aurora,Bryant,2010,aurora.b@email.com,Tulip Drive 19,true,false
Liam,Johnson,1985,liam.j@email.com,Sunflower Street 12,true,true
Ella,Gonzalez,1992,ella.g@email.com,Bluebell Avenue 5,false,false
Mason,Anderson,1982,mason.a@email.com,Wildflower Lane 8,true,true
Ava,Smith,2009,ava.s@email.com,Rosemary Court 22,false,true
Noah,Wright,1965,noah.w@email.com,Lavender Drive 14,true,false
Sophia,Taylor,1977,sophia.t@email.com,Daisy Road 3,true,true
Jackson,Martin,1983,jackson.m@email.com,Petal Plaza 17,false,false
Olivia,White,1990,olivia.w@email.com,Sweetpea Lane 9,false,true
Lucas,Morris,1988,lucas.m@email.com,Tulip Avenue 26,true,false
Emma,Baker,1982,emma.b@email.com,Orchid Court 13,true,true
Henry,Kelly,1967,henry.k@email.com,Marigold Drive 7,false,false
Amelia,Clark,1979,amelia.c@email.com,Butterfly Street 18,true,false
Ethan,Hill,1990,ethan.h@email.com,Pansy Lane 10,true,true
Isabella,Mitchell,1975,isabella.m@email.com,Poppy Road 14,false,false
Aiden,Brooks,1970,aiden.b@email.com,Violet Drive 27,false,true
Mia,Harrison,1987,mia.h@email.com,Fern Avenue 5,true,false
Logan,Cooper,1976,logan.c@email.com,Iris Court 11,true,true
Anders,Ravn,1994,Anders@and.dk,Sofaen 33,true,true
