Hasan,Rahid,1987,hasanrashid@yahoo.dk,Frimestervej 40,true,false,CRAWL
Sarah,Smith,1995,sarahsmith@email.com,Maple Street 12,true,false,MEDLEY
James,Anderson,1986,james.anderson@gmail.com,Oak Avenue 25,false,false,BUTTERFLY
Emily,Johnson,1998,emily.j@email.com,Pine Lane 7,false,true,CRAWL
Alex,Miller,2003,alex.miller@hotmail.com,Spruce Drive 18,true,true,BACKSTROKE
Olivia,Davis,1975,olivia.d@gmail.com,Birch Road 33,true,false,BREASTSTROKE
Daniel,Clark,1981,daniel.c@email.com,Elm Court 5,false,true,MEDLEY
Sophia,Martin,1992,sophia.m@hotmail.com,Willow Street 22,false,true,CRAWL
Ethan,Wright,1984,ethan.w@email.com,Cedar Lane 14,true,false,BUTTERFLY
Emma,Turner,1972,emma.turner@gmail.com,Sycamore Avenue 29,false,false,MEDLEY
Anders,Ravn,1994,Anders@and.dk,Sofaen 22,true,true,BREASTSTROKE
