Wyatt,Ramirez,wyatt.r@email.com,false,false,500
Aurora,Bryant,aurora.b@email.com,true,false,1000
Liam,Johnson,liam.j@email.com,true,true,1600
Ella,Gonzalez,ella.g@email.com,false,false,500
Mason,Anderson,mason.a@email.com,true,true,1600
Ava,Smith,ava.s@email.com,false,true,1000
Noah,Wright,noah.w@email.com,true,false,1200
Sophia,Taylor,sophia.t@email.com,true,true,1600
Jackson,Martin,jackson.m@email.com,false,false,500
Olivia,White,olivia.w@email.com,false,true,500
Lucas,Morris,lucas.m@email.com,true,false,1600
Emma,Baker,emma.b@email.com,true,true,1600
Henry,Kelly,henry.k@email.com,false,false,500
Amelia,Clark,amelia.c@email.com,true,false,1600
Ethan,Hill,ethan.h@email.com,true,true,1600
Isabella,Mitchell,isabella.m@email.com,false,false,500
Aiden,Brooks,aiden.b@email.com,false,true,500
Mia,Harrison,mia.h@email.com,true,false,1600
Logan,Cooper,logan.c@email.com,true,true,1600
Evelyn,Wells,evelyn.w@email.com,true,false,1600
Carter,Russell,carter.r@email.com,false,true,1000
Grace,Collins,grace.c@email.com,true,false,1600
Sawyer,Reyes,sawyer.r@email.com,false,true,1000
Luna,Fisher,luna.f@email.com,false,false,500
Grayson,Hall,grayson.h@email.com,true,true,1600
Chloe,Cruz,chloe.c@email.com,false,false,500
Zane,Johnson,zane.j@email.com,true,false,1600
Stella,Morris,stella.m@email.com,false,false,500
Leo,Harrison,leo.h@email.com,true,true,1600
Zara,Cooper,zara.c@email.com,false,true,1000
Xander,Ramirez,xander.r@email.com,true,false,1600
Ivy,Anderson,ivy.a@email.com,true,true,1600
Gavin,Wright,gavin.w@email.com,false,false,500
Lily,Taylor,lily.t@email.com,true,true,1600
Nolan,Gonzalez,nolan.g@email.com,false,false,500
Eva,Brooks,eva.b@email.com,true,false,1600
Max,Collins,max.c@email.com,true,true,1600
Ruby,Kelly,ruby.k@email.com,false,false,500
Jaxon,Hill,jaxon.h@email.com,true,true,1600
Harper,Baker,harper.b@email.com,false,false,500
Zander,Mitchell,zander.m@email.com,true,true,1600
Avery,White,avery.w@email.com,false,false,500
Sofia,Russell,sofia.r@email.com,true,true,1600
Oscar,Fisher,oscar.f@email.com,false,false,500
Piper,Wells,piper.w@email.com,true,true,1600
Camden,Clark,camden.c@email.com,false,true,1000
Lydia,Martin,lydia.m@email.com,true,false,1600
Eli,Reyes,eli.r@email.com,true,true,1600
Isla,Hall,isla.h@email.com,false,false,500
Aiden,Gonzalez,aiden.g@email.com,true,true,1600
Hasan,Rahid,hasanrashid@yahoo.dk,true,false,1600
Sarah,Smith,sarahsmith@email.com,true,false,1600
James,Anderson,james.anderson@gmail.com,false,false,500
Emily,Johnson,emily.j@email.com,false,true,1600
Alex,Miller,alex.miller@hotmail.com,true,true,1000
Olivia,Davis,olivia.d@gmail.com,true,false,1600
Daniel,Clark,daniel.c@email.com,false,true,1600
Sophia,Martin,sophia.m@hotmail.com,false,true,1600
Ethan,Wright,ethan.w@email.com,true,false,1600
Emma,Turner,emma.turner@gmail.com,false,false,500
Liam,Hill,liam.h@email.com,true,false,1600
Ava,Brown,ava.brown@hotmail.com,true,true,1000
Noah,Cooper,noah.c@email.com,true,false,1600
Mia,Wilson,mia.w@email.com,false,true,1600
Benjamin,Ross,benjamin.r@email.com,false,false,500
Chloe,Adams,chloe.a@email.com,true,false,1600
Samuel,Baker,samuel.b@email.com,false,true,1600
Lily,Turner,lily.t@hotmail.com,false,false,500
Christopher,Hall,chris.h@email.com,false,true,1600
Grace,Moore,grace.m@email.com,true,false,1600
William,Rivera,william.r@email.com,false,true,1600
Harper,Adams,harper.a@hotmail.com,false,true,1000
Aiden,Campbell,aiden.c@email.com,true,true,1000
Evelyn,Roberts,evelyn.r@email.com,false,false,500
Jackson,Wright,jackson.w@email.com,false,true,1600
Abigail,Young,abigail.y@email.com,true,false,1600
Logan,Hall,logan.h@email.com,true,true,1000
Victoria,Cooper,victoria.c@email.com,false,false,500
Elijah,Rogers,elijah.r@email.com,true,true,1000
Madison,Perez,madison.p@email.com,false,true,1600
Isaac,Garcia,isaac.g@email.com,true,false,1600
Zoe,Fisher,zoe.f@email.com,true,true,1000
Grayson,Brooks,grayson.b@email.com,true,false,1600
Scarlett,Hughes,scarlett.h@email.com,false,false,500
Gabriel,Richards,gabriel.r@email.com,false,true,1600
Penelope,Stewart,penelope.s@email.com,false,false,500
Julian,Gray,julian.g@email.com,true,true,1000
Riley,Price,riley.p@email.com,true,false,1600
Ariana,Harris,ariana.h@email.com,false,true,1600
Levi,Turner,levi.t@email.com,false,true,1000
Hailey,James,hailey.j@email.com,true,false,1600
Caleb,Barnes,caleb.b@email.com,false,false,500
Addison,Long,addison.l@email.com,false,true,1600
Elena,Morris,elena.m@email.com,true,false,1600
Nolan,Wood,nolan.w@email.com,true,false,1600
Connor,Bell,connor.b@email.com,false,true,1000
Savannah,Ward,savannah.w@email.com,true,false,1600
Jack,Fleming,jack.f@email.com,false,false,500
Aria,Cruz,aria.c@email.com,true,true,1000
Owen,Richardson,owen.r@email.com,false,false,500
Zoey,Hall,zoey.h@email.com,true,false,1600
Wyatt,Ramirez,wyatt.r@email.com,true,true,1000
Aurora,Bryant,aurora.b@email.com,false,true,1000
